Timestamp,Source,Level,Line
16:53:22.8440,Advertising Interval,Normal,"41.92 ms"
16:53:22.9800,RSSI,Normal,"-70 dBm"
16:53:22.9800,Advertising Interval,Normal,"136.16 ms"
16:53:23.0230,RSSI,Normal,"-80 dBm"
16:53:23.0230,Advertising Interval,Normal,"43.35 ms"
16:53:23.0670,RSSI,Normal,"-73 dBm"
16:53:23.0670,Advertising Interval,Normal,"43.90 ms"
16:53:23.1140,RSSI,Normal,"-66 dBm"
16:53:23.1140,Advertising Interval,Normal,"46.49 ms"
16:53:23.1560,RSSI,Normal,"-74 dBm"
16:53:23.1560,Advertising Interval,Normal,"42.02 ms"
16:53:23.1980,RSSI,Normal,"-70 dBm"
16:53:23.1980,Advertising Interval,Normal,"42.57 ms"
16:53:23.2450,RSSI,Normal,"-65 dBm"
16:53:23.2450,Advertising Interval,Normal,"46.74 ms"
16:53:23.3450,RSSI,Normal,"-64 dBm"
16:53:23.3450,Advertising Interval,Normal,"99.86 ms"
16:53:23.3860,RSSI,Normal,"-71 dBm"
16:53:23.3860,Advertising Interval,Normal,"40.95 ms"
16:53:23.4770,RSSI,Normal,"-66 dBm"
16:53:23.4770,Advertising Interval,Normal,"91.11 ms"
16:53:23.5260,RSSI,Normal,"-72 dBm"
16:53:23.5260,Advertising Interval,Normal,"48.42 ms"
16:53:23.5700,RSSI,Normal,"-76 dBm"
16:53:23.5700,Advertising Interval,Normal,"44.77 ms"
16:53:23.6170,RSSI,Normal,"-67 dBm"
16:53:23.6170,Advertising Interval,Normal,"46.18 ms"
16:53:23.6570,RSSI,Normal,"-74 dBm"
16:53:23.6570,Advertising Interval,Normal,"40.60 ms"
16:53:23.7050,RSSI,Normal,"-69 dBm"
16:53:23.7050,Advertising Interval,Normal,"48.19 ms"
16:53:23.7920,RSSI,Normal,"-72 dBm"
16:53:23.7920,Advertising Interval,Normal,"87.37 ms"
16:53:23.9650,RSSI,Normal,"-76 dBm"
16:53:23.9650,Advertising Interval,Normal,"172.93 ms"
16:53:24.0090,RSSI,Normal,"-71 dBm"
16:53:24.0090,Advertising Interval,Normal,"43.76 ms"
16:53:24.0540,RSSI,Normal,"-68 dBm"
16:53:24.0540,Advertising Interval,Normal,"44.74 ms"
16:53:24.1050,RSSI,Normal,"-60 dBm"
16:53:24.1050,Advertising Interval,Normal,"51.16 ms"
16:53:24.1050,RSSI,Normal,"-60 dBm"
16:53:24.1050,Advertising Interval,Normal,"51.28 ms"
16:53:24.1520,RSSI,Normal,"-66 dBm"
16:53:24.1520,Advertising Interval,Normal,"46.10 ms"
16:53:24.1990,RSSI,Normal,"-64 dBm"
16:53:24.1990,Advertising Interval,Normal,"47.19 ms"
16:53:24.2490,RSSI,Normal,"-58 dBm"
16:53:24.2490,Advertising Interval,Normal,"50.48 ms"
16:53:24.2920,RSSI,Normal,"-66 dBm"
16:53:24.2920,Advertising Interval,Normal,"42.67 ms"
16:53:24.2930,RSSI,Normal,"-64 dBm"
16:53:24.2930,Advertising Interval,Normal,"42.96 ms"
16:53:24.3360,RSSI,Normal,"-66 dBm"
16:53:24.3360,Advertising Interval,Normal,"43.81 ms"
16:53:24.3370,RSSI,Normal,"-56 dBm"
16:53:24.3370,Advertising Interval,Normal,"43.90 ms"
16:53:24.3370,RSSI,Normal,"-56 dBm"
16:53:24.3370,Advertising Interval,Normal,"43.99 ms"
16:53:24.3730,RSSI,Normal,"-65 dBm"
16:53:24.3730,Advertising Interval,Normal,"37.06 ms"
